Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00011,0.480102378,0.69114737,1.019407701,0.035677912,-0.06710957
CNAG_00077,1.420526908,3.740679054,1.150886034,2.183572354,1.519433296
CNAG_00122,0.310463094,-0.399329196,0.509335626,1.201215435,-1.2448454
CNAG_00194,1.531775064,-0.268331084,0.370552909,0.081366022,0.763694128
CNAG_00263,0.143068376,0.036240759,0.38974675,-0.4362849,-0.60631144
CNAG_00347,0.962457993,0.0130296,1.224178408,-0.480856885,0.643557445
CNAG_00515,0.268383674,0.224075421,0.35969415,0.429422892,0.264465141
CNAG_00516,0.622287018,0.620921429,-0.244685107,-0.066539663,0.129911803
CNAG_00517,0.22792636,2.833494392,0.85484854,0.023666691,0.060038592
CNAG_00523,-0.958298662,-0.636117655,-0.422864943,-0.116790792,-0.092607026
CNAG_00524,1.055825805,0.256581149,0.71433164,0.753055222,-0.22997725
CNAG_00526,0.08448966,-0.069754309,0.374406143,-0.309252533,0.937997095
CNAG_00528,0.303403447,-0.134766713,0.086155612,0.493899171,0.268592306
CNAG_00529,0.032120399,1.122979041,0.184575332,0.056372483,1.043015528
CNAG_00534,0.214274039,-1.024142685,0.478892378,-0.420438811,-0.634244914
CNAG_00538,-2.27001603,-0.151679814,-1.722937777,-0.938380634,-2.97084573
CNAG_00541,-0.199405557,-1.761424396,0.233024649,-0.94844617,0.365698528
CNAG_00543,0.650627055,-0.54264853,0.0356898,0.043204886,1.492449458
CNAG_00550,0.336270465,0.951924321,0.878474477,0.518248182,0.49733706
CNAG_00554,0.917136668,-1.163921594,-2.596205687,0.742825638,0.601507538
CNAG_00555,-0.144844163,1.333902303,0.133636842,0.073836572,-0.38153416
CNAG_00558,1.626135656,1.278062327,1.169252383,1.030748691,1.87638525
CNAG_00561,1.453284245,1.283970424,0.881654873,2.052610158,1.015552399
CNAG_00562,1.164581627,-0.344249663,0.771673865,0.935454942,0.803316807
CNAG_00570,-3.144942861,-4.888349421,-5.029391551,-3.882220526,-5.623792387
CNAG_00571,0.255241688,-0.313146535,0.754545705,0.075912603,0.334767384
CNAG_00574,-0.845889406,-1.131431258,-0.243281735,-0.982633096,-1.770989766
CNAG_00575,0.280082182,0.639429585,0.639007253,0.320367449,0.699057818
CNAG_00576,0.214308751,1.23241052,0.321667367,0.156775566,-0.380839214
CNAG_00582,-0.24044538,0.970214174,0.105282927,-0.047916632,0.427668059
CNAG_00583,-0.850131267,-0.528139016,-1.006226496,-0.513749688,-0.118981577
CNAG_00585,0.203112622,0.84224585,-0.13381503,0.767321807,-0.477883129
CNAG_00586,-0.207210191,0.872093296,0.755071135,0.104016254,1.480514731
CNAG_00589,-2.092104452,-3.443258057,-3.929517488,-1.969003555,-2.623932125
CNAG_00590,-5.449854193,-8.963254223,-7.985085355,-6.092023457,-6.795316902
CNAG_00591,0.109451042,-0.506289605,-1.144240802,0.420960148,1.219048468
CNAG_00593,0.057170259,0.313621641,0.809072509,0.099499326,0.551741508
CNAG_00594,0.665719173,0.312929162,-0.116661419,0.618633872,-0.912610583
CNAG_00596,0.796190447,-0.70224717,0.946043405,0.036137863,-1.566914575
CNAG_00599,0.317291485,-0.687398803,0.058811272,-0.734469617,0.58333835
CNAG_00601,0.461007054,-0.212453079,0.18430465,0.391798807,-1.228665986
CNAG_00608,1.050747226,-1.781651385,-0.069101096,0.109206667,-1.884284688
CNAG_00609,0.195175122,0.503438254,0.646391291,-0.205193507,1.49271242
CNAG_00613,-0.02779184,0.605196308,-0.227642475,0.562958584,-0.637754541
CNAG_00622,-0.715179689,-1.787834412,-2.37436057,-0.413472082,-1.099684516
CNAG_00623,0.435756733,0.863696676,-0.115030957,0.418521179,-0.2480206
CNAG_00624,-0.620243995,-0.72365769,-0.95922928,-0.587714102,-1.754809082
CNAG_00625,-1.110848422,-1.465017121,-0.474899539,-0.484939695,-1.496203176
CNAG_00626,0.377299026,-0.150038075,0.023140303,-0.506631653,0.668560398
CNAG_00628,0.42676691,0.544048504,0.868302708,0.674607129,0.803369089
CNAG_00632,0.75753374,0.457750258,1.623039916,0.247223934,-0.559072234
CNAG_00635,0.10117984,-1.965539898,-1.201961605,-0.881686419,-1.423634811
CNAG_00642,0.098051387,0.57798266,0.472441385,-0.816269014,0.4885028
CNAG_00650,-5.456429155,-8.398683529,-6.244749842,-6.710269627,-5.738931812
CNAG_00651,0.595788686,0.79155288,1.385621744,0.477962948,1.277348393
CNAG_00657,-0.165840861,0.271746768,0.139953146,-0.242643776,0.923737978
CNAG_00658,1.608387281,2.128432814,1.29139172,1.684094145,2.536520308
CNAG_00659,1.317917165,3.342002813,1.838625623,2.525770086,1.578917633
CNAG_00664,-0.403802069,0.088821522,-0.075364894,0.143399167,-0.099728036
CNAG_00667,-0.296951285,-0.897356862,-0.758956905,-0.169386473,-0.633029586
CNAG_00671,0.506584605,1.673428072,0.50004064,0.144897493,-0.105463085
CNAG_00673,-0.521573336,0.073309627,-2.050333722,0.081716806,-0.600100251
CNAG_00693,-3.97389137,-6.191232529,-4.742534979,-4.928450547,-3.808127422
CNAG_00695,0.314151682,0.63329178,1.243844512,-0.159563115,0.75083834
CNAG_00696,-0.245877933,-0.480254003,-1.263379271,-2.141903394,-0.432487445
CNAG_00697,-2.930372222,-6.252034372,-6.317947671,-4.97752882,-5.336900322
CNAG_00718,-0.227690938,0.792892804,-0.645180287,-1.020189212,0.713031564
CNAG_00723,1.016752672,-0.10257309,0.305509997,-0.771251502,1.047930471
CNAG_00727,1.251474047,-0.217697961,-1.18695814,-1.310778651,-0.020473279
CNAG_00729,0.691203465,-0.718836569,1.320750102,1.183943459,-0.10398911
