Gene,Mouse1_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_00012,0.856394148,0.130065793,-0.172071974,1.249553382
CNAG_00025,-0.829635703,0.418048121,0.122982155,0.751412441
CNAG_00068,0.195796837,-0.107312127,-0.463931441,-0.71499745
CNAG_00115,-0.639987854,0.551554587,-0.424612226,-0.366438106
CNAG_00130,0.829293666,1.115495984,0.918534984,0.530327644
CNAG_00134,-0.567569022,-0.323095701,-0.843252855,-0.219852549
CNAG_00135,0.923974714,1.087069501,-0.207224143,0.924777217
CNAG_00153,0.949786979,-0.179462044,0.465018322,0.163898731
CNAG_00157,-0.47150282,-0.420912103,0.625093607,0.226603433
CNAG_00285,0.119373304,1.543077644,0.046758667,0.16343962
CNAG_00321,0.216547727,0.101573524,0.329612932,0.569232688
CNAG_00353,-0.570410202,0.197174319,1.133470963,0.145638383
CNAG_00365,-0.520069896,-1.206356273,0.352225518,-0.351439972
CNAG_00373,0.339601288,-0.38413383,-0.344162668,-0.298111489
CNAG_00378,0.829289814,-0.278338163,-0.066316551,1.367818955
CNAG_00386,0.431175847,0.035464469,-1.121736123,0.276275067
CNAG_00387,-0.620071781,0.385785446,1.408180783,-1.228740603
CNAG_00395,0.511375772,1.377060375,-1.45469633,-0.518964029
CNAG_00400,-0.872455342,0.013256171,-0.6457176,-0.167605608
CNAG_00417,1.709277366,0.561903818,0.142367081,0.709693465
CNAG_00442,-0.59961243,-2.551184647,-0.456642496,-0.000493694
CNAG_00455,-2.575139083,-1.70967552,0.139430534,-1.270236883
CNAG_00475,-0.0277315,0.117306164,0.106466283,-0.96625125
CNAG_00480,-0.258828617,0.715190351,0.434765744,-0.868461687
CNAG_00481,-0.937265129,-1.497692051,-1.263532106,0.67207209
CNAG_00547,0.608365649,-0.495862859,-0.588474625,-1.533714076
CNAG_00567,-0.982835044,-1.315268026,-1.558633854,-0.109244743
CNAG_00587,-0.476025287,0.794471391,1.298049829,0.24981018
CNAG_00595,1.06598718,-0.985124973,0.602643123,0.779006048
CNAG_00634,-6.695245019,-4.998850806,-6.09446315,-5.814527113
CNAG_00670,0.299686266,-2.169310335,1.313871787,0.773095687
CNAG_00678,-0.878090653,-0.196805187,0.492355551,0.576624948
CNAG_00709,1.201562854,0.310651754,0.090744797,0.182589821
CNAG_00726,0.083328815,-1.088778567,1.282736178,0.449722736
CNAG_00740,-5.863884695,-5.326959786,-6.179240136,-5.395294377
CNAG_00756,-0.189981315,0.062177909,-0.596252068,-2.190676872
CNAG_00759,0.133342933,0.331434141,0.37629103,1.180909354
CNAG_00776,-0.309008203,-2.537602048,0.96619144,-0.817270218
CNAG_00777,-7.198224471,-6.467354834,-7.230809708,-6.139106542
CNAG_00803,-1.055411061,-1.810854189,-0.529722805,-1.334217906
CNAG_00806,0.547964088,-1.056061388,1.318591258,-0.019291146
CNAG_00816,-2.286447827,-2.164676895,-0.67281958,-3.879240601
CNAG_00823,0.099564702,-0.195166537,-1.429439884,0.49676562
CNAG_00851,-0.985794205,-0.619102165,-0.655797419,-0.894740228
CNAG_00869,1.482042742,0.838653897,-1.017702619,0.86625129
CNAG_00908,-0.079744529,1.083052589,0.338604152,0.631399528
CNAG_00917,-0.411248563,-0.541721554,-0.488903358,-0.134321848
CNAG_00967,1.294149459,1.435984933,1.023428456,2.658522062
CNAG_00996,-6.682095948,-6.178641065,-6.579607566,-4.478153204
CNAG_01017,-0.18238734,-0.278812756,0.043132606,-0.3326354
CNAG_01024,-0.599720433,-0.953615817,-0.874870251,0.646777039
CNAG_01026,-0.523746983,1.218606827,0.489763139,-0.209343033
CNAG_01027,-0.466291233,0.650445015,0.401902515,0.868363575
CNAG_01061,-0.904108858,-0.319938022,1.779485135,1.194335609
